Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:34:46,370,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:47,371,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:48,372,0.4450318,0,0.0050004,0.5871848
2025-07-01 10:34:49,373,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:34:50,374,0.445,0,0.005,0.5871429
2025-07-01 10:34:51,375,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:52,376,0.4442857,0,0.005,0.5864286
2025-07-01 10:34:53,377,0.445,0,0.0057143,0.5864286
2025-07-01 10:34:54,378,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:34:55,379,0.445,0,0.0057143,0.5864286
2025-07-01 10:34:56,380,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:34:57,381,0.4435397,0,0.0049996,0.5863867
2025-07-01 10:34:58,382,0.445,0,0.005,0.5864286
2025-07-01 10:34:59,383,0.445,0,0.005,0.5871429
2025-07-01 10:35:00,384,0.444254,0,0.0049996,0.5863867
2025-07-01 10:35:01,385,0.445,0,0.005,0.5871429
2025-07-01 10:35:02,386,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:35:03,387,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:35:04,388,0.444254,0,0.0049996,0.5863867
2025-07-01 10:35:05,389,0.4435714,0,0.0042857,0.5871429
2025-07-01 10:35:06,390,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:35:07,391,0.4435714,0,0.0028571,0.5871429
2025-07-01 10:35:08,392,0.4442857,0,0.0035714,0.5857143
2025-07-01 10:35:09,393,0.4435397,0,0.0049996,0.5856725
2025-07-01 10:35:10,394,0.4435714,0,0.005,0.5857143
2025-07-01 10:35:11,395,0.4443175,0,0.004286,0.5864705
2025-07-01 10:35:12,396,0.4428571,0,0.0042857,0.5864286
2025-07-01 10:35:13,397,0.4435714,0,0.0064286,0.5857143
2025-07-01 10:35:14,398,0.4443175,0,0.006429,0.5864705
2025-07-01 10:35:15,399,0.4435714,0,0.0064286,0.5857143
2025-07-01 10:35:16,400,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:35:17,401,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:35:18,402,0.4436031,0,0.0050004,0.5857561
2025-07-01 10:35:19,403,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:35:20,404,0.4435397,0,0.0064281,0.5863867
2025-07-01 10:35:21,405,0.4442857,0,0.0064286,0.5857143
2025-07-01 10:35:22,406,0.4435714,0,0.0057143,0.5864286
2025-07-01 10:35:23,407,0.4443175,0,0.0050004,0.5864705
2025-07-01 10:35:24,408,0.4435714,0,0.005,0.5871429
2025-07-01 10:35:25,409,0.4435714,0,0.005,0.5864286
2025-07-01 10:35:26,410,0.4442857,0,0.005,0.5864286
2025-07-01 10:35:27,411,0.4435397,0,0.0035712,0.5863867
2025-07-01 10:35:28,412,0.4428571,0,0.0042857,0.5864286
2025-07-01 10:35:29,413,0.4435397,0,0.0049996,0.5871009
2025-07-01 10:35:30,414,0.4435714,0,0.005,0.5864286
2025-07-01 10:35:31,415,0.444254,0,0.0049996,0.5863867
2025-07-01 10:35:32,416,0.444254,0,0.0057139,0.5863867
