frequency,num_pairs,influxdb/transmitted_mean,influxdb/transmitted_median,influxdb/transmitted_std,influxdb/transmitted_mad,neo4j/transmitted_mean,neo4j/transmitted_median,neo4j/transmitted_std,neo4j/transmitted_mad,influxdb/received_mean,influxdb/received_median,influxdb/received_std,influxdb/received_mad,neo4j/received_mean,neo4j/received_median,neo4j/received_std,neo4j/received_mad,received/mean,received/median,received/std,received/mad,transmitted/mean,transmitted/median,transmitted/std,transmitted/mad
60,0,5169.0406779661,5169.0,468.9856633786419,442.6999999999998,308.0,308.0,23.58175799945432,0.0,1965.042372881356,1964.0,175.6949013090491,140.5999999999999,489.9237288135593,489.0,36.88073667350425,0.0,0,0,0,0,0,0,0,0
60,10,5714.520338983052,5704.8,472.8574027889348,455.09999999999945,6258.0,6258.0,492.4473642448746,66.10000000000036,10648.630508474576,10242.0,973.0003386706428,634.7000000000007,14039.601694915254,13625.0,1179.6815766292434,947.6000000000004,0,0,0,0,0,0,0,0
60,20,5723.056666666667,5722.85,529.4043427196225,456.6999999999998,12200.778333333334,12208.0,921.5948740609832,1190.0,18683.576666666668,17908.8,1780.2533506966547,1093.8500000000004,27565.331666666665,26853.5,2259.8911917328564,1986.7999999999993,0,0,0,0,0,0,0,0
60,30,5868.413333333333,5876.6,491.7262658198921,114.65000000000009,18158.0,18158.0,1529.9779686017632,1018.5,26740.353333333333,26238.35,2300.5120451735743,1635.8500000000022,41114.34333333334,40025.05,3544.015908607532,2980.2500000000036,0,0,0,0,0,0,0,0
60,40,5897.538333333333,5888.4,463.24115149439507,546.5,24147.66666666667,24108.0,1849.4044083568408,580.2999999999993,34821.276666666665,34114.3,2979.832130032687,2210.300000000001,54741.443333333336,54826.4,4095.169902535519,2456.5999999999985,0,0,0,0,0,0,0,0
70,0,5177.900000000001,5169.2,340.93634808901766,77.09999999999945,309.0440677966102,308.0,27.409136855576804,30.80000000000001,1968.2525423728812,1964.0,119.67043300886124,55.799999999999955,491.58135593220345,489.0,43.00013422022464,48.89999999999998,0,0,0,0,0,0,0,0
70,10,5710.562711864407,5709.3,450.589648127224,452.89999999999964,6258.0,6258.0,461.42135131382463,595.0,10655.677966101695,10297.8,866.8732294202235,568.5,14031.35593220339,13672.9,1064.9722996674745,1045.2999999999993,0,0,0,0,0,0,0,0
70,20,5728.208474576272,5718.3,473.2476027912164,493.3000000000002,12228.69152542373,12208.0,995.7747486752997,311.5,18698.894915254237,18133.4,1580.8113267672927,1122.5999999999985,27621.993220338984,27798.0,2216.448514836011,1341.7999999999993,0,0,0,0,0,0,0,0
70,30,5869.07627118644,5878.7,493.6071041023812,503.8000000000002,18158.0,18158.0,1406.3419493923548,1442.0,26683.908474576274,26209.1,2441.8487028654263,1933.800000000003,41089.957627118645,40474.7,3209.99195171423,2416.300000000003,0,0,0,0,0,0,0,0
70,40,5866.4915254237285,5886.4,437.9937333389425,460.60000000000036,24108.0,24108.0,2047.2433244866547,2380.0,34702.250847457624,34371.4,2599.7932333813537,1911.0,54686.06779661015,54501.0,4353.473932843179,2924.699999999997,0,0,0,0,0,0,0,0
80,0,5259.163333333333,5265.45,470.503882786863,442.9000000000001,308.0,308.0,23.38105853688162,0.0,1961.7516666666668,1964.0,150.89010648304043,140.5999999999999,489.90833333333336,489.0,37.78213321658107,0.0,0,0,0,0,0,0,0,0
80,10,5725.9,5718.1,538.6262609319352,531.3999999999996,6257.999999999999,6258.0,545.6183015941482,595.0,10657.428813559323,10297.8,1139.5498746935502,714.0,14038.601694915256,13624.0,1274.804478516354,996.3999999999996,0,0,0,0,0,0,0,0
80,20,5700.230508474576,5721.2,452.7879454401849,451.5,12227.683050847456,12208.0,977.2356536737805,1190.0,18607.201694915253,18219.0,1744.3246014838821,1138.9000000000015,27619.384745762713,27504.1,2280.0686178281285,1695.9000000000015,0,0,0,0,0,0,0,0
80,30,5877.306779661017,5877.6,434.5940943567865,83.30000000000018,18188.77627118644,18158.0,1628.35962247806,1620.5,26726.372881355932,26566.0,1955.2530523968178,1220.0,41164.00847457627,41485.9,3466.125730119423,1922.699999999997,0,0,0,0,0,0,0,0
80,40,5895.7333333333345,5887.549999999999,475.92262534022746,275.6500000000001,24108.0,24108.0,2066.508922993936,2380.0,34804.9,34276.8,2360.0854165093983,1514.2000000000044,54662.07666666667,54619.45,4395.587428873421,3283.4500000000007,0,0,0,0,0,0,0,0
90,0,5265.096610169493,5263.5,463.981509354407,520.3999999999996,308.5220338983051,308.0,23.22641234187264,30.80000000000001,1964.9237288135594,1964.0,168.84842757988915,196.4000000000001,490.7525423728814,489.0,38.736302833621075,48.89999999999998,0,0,0,0,0,0,0,0
90,10,5713.1083333333345,5702.75,350.3962494438172,113.15000000000009,6248.083333333333,6258.0,456.27641086006713,595.0,10660.661666666663,10242.0,895.3689210469819,605.8999999999996,14015.783333333333,13648.45,1099.5469802384127,971.9500000000007,0,0,0,0,0,0,0,0
90,20,5719.808333333333,5725.0,414.01581493238194,447.1500000000001,12227.833333333334,12208.0,818.3504213296375,30.799999999999272,18634.901666666665,18718.1,1635.0540103546537,1320.8500000000022,27640.408333333333,26783.45,2062.5901128576647,1888.9500000000007,0,0,0,0,0,0,0,0
90,30,5891.91,5881.6,443.6198348410571,40.55000000000064,18153.753333333334,18158.0,1514.4965876674983,1064.0,26774.156666666666,26325.85,2114.7656045430176,1039.449999999997,41117.12333333334,40330.0,3505.016113184591,2727.1500000000015,0,0,0,0,0,0,0,0
90,40,5890.162711864407,5882.6,471.92831311922095,460.0,24067.138983050845,24108.0,1620.2570327188241,952.0,34772.60847457627,34116.0,2651.6601696431185,1550.2000000000007,54573.46101694916,54253.0,3567.153141875474,2196.0,0,0,0,0,0,0,0,0
100,0,5264.974576271186,5263.9,471.2665420468914,452.2999999999993,308.5220338983051,308.0,22.511208455717398,0.0,1965.042372881356,1964.0,169.806836712402,140.5999999999999,490.7525423728814,489.0,36.28388716169793,0.0,0,0,0,0,0,0,0,0
100,10,5715.340677966103,5713.9,469.9430773008373,451.60000000000036,6268.0847457627115,6258.0,498.44886875515766,595.0,10676.710169491524,10306.5,1034.344142972587,708.6000000000004,14056.481355932205,13676.9,1102.8849162263073,947.8999999999996,0,0,0,0,0,0,0,0
100,20,5796.423333333334,5793.8,444.08329664780456,290.0,12228.346666666668,12208.0,756.9156289248715,0.0,18739.483333333334,18422.0,1425.039983282856,883.6000000000004,27643.196666666667,26787.45,2009.3730728987073,1747.2999999999993,0,0,0,0,0,0,0,0
100,30,5883.213559322034,5884.4,475.11197752980854,126.69999999999982,18158.0,18158.0,1395.5091422871067,1444.7999999999993,26800.503389830505,26540.1,2194.0054450130547,1519.9000000000015,41136.601694915254,40517.1,2975.3812766683873,2452.4000000000015,0,0,0,0,0,0,0,0
100,40,5870.764406779662,5879.2,474.147939143511,464.39999999999964,24148.86101694916,24108.0,1751.8499086450404,2380.0,34723.279661016946,34339.0,3177.905203756391,2570.5999999999985,54754.33220338983,54617.0,4022.4822277930043,3805.800000000003,0,0,0,0,0,0,0,0
