frequency,num_pairs,influxdb/write_mean,influxdb/write_median,influxdb/write_std,influxdb/write_mad,neo4j/write_mean,neo4j/write_median,neo4j/write_std,neo4j/write_mad,influxdb/read_mean,influxdb/read_median,influxdb/read_std,influxdb/read_mad,neo4j/read_mean,neo4j/read_median,neo4j/read_std,neo4j/read_mad,write_mean,write_median,write_std,write_mad,read_mean,read_median,read_std,read_mad
60,30,16182.557377049181,16384.0,1302.2023809316104,819.2000000000007,631.1868852459017,0.0,906.1130901593863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16813.744262295084,16384.0,2208.3154710909967,819.2000000000007,0.0,0.0,0.0,0.0
60,40,17431.501639344264,17612.8,1454.2616962949737,1228.7999999999993,725.1934426229509,0.0,1038.9557333517182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18156.695081967213,17612.8,2493.217429646692,1228.7999999999993,0.0,0.0,0.0,0.0
70,0,4136.96,4096.0,338.7098870856667,0.0,382.2933333333334,0.0,600.9464896226873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4519.253333333333,4096.0,939.656376708354,0.0,0.0,0.0,0.0,0.0
70,10,13714.773333333333,13926.4,920.3789560285346,409.60000000000036,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14233.599999999999,13926.4,1692.5023888041903,409.60000000000036,0.0,0.0,0.0,0.0
70,20,14970.880000000001,15155.2,1097.3667799655968,409.60000000000036,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15489.706666666667,15155.2,1869.4902127412524,409.60000000000036,0.0,0.0,0.0,0.0
70,30,16151.893333333333,16384.0,1503.4182870954826,1638.3999999999996,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16670.72,16384.0,2275.5417198711384,1638.3999999999996,0.0,0.0,0.0,0.0
70,40,17394.346666666668,17612.8,1331.5521361347012,819.2000000000007,962.5600000000001,0.0,1275.0499727317278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18356.90666666667,17612.8,2606.6021088664293,819.2000000000007,0.0,0.0,0.0,0.0
80,0,4122.859016393443,4096.0,379.8224589117728,409.5999999999999,335.73770491803276,0.0,523.3861622189298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4458.596721311476,4096.0,903.2086211307026,409.5999999999999,0.0,0.0,0.0,0.0
80,10,13714.773333333333,13926.4,1397.168415024314,1228.7999999999993,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14233.599999999999,13926.4,2169.2918477999697,1228.7999999999993,0.0,0.0,0.0,0.0
80,20,14895.786666666665,15155.2,1246.3104606028407,409.60000000000036,532.48,0.0,769.8341472577354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15428.266666666665,15155.2,2016.1446078605761,409.60000000000036,0.0,0.0,0.0,0.0
80,30,16172.373333333333,16384.0,1132.8045752383277,409.60000000000036,559.7866666666666,0.0,836.7275121058847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16732.16,16384.0,1969.5320873442124,409.60000000000036,0.0,0.0,0.0,0.0
80,40,17458.360655737706,17612.8,1169.9220096658435,614.4000000000015,530.4655737704918,0.0,770.8853070106939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17988.8262295082,17612.8,1940.8073166765373,614.4000000000015,0.0,0.0,0.0,0.0
90,0,4130.133333333333,4096.0,413.76815503984,409.5999999999999,354.9866666666667,0.0,548.9290607914783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4485.12,4096.0,962.6972158313183,409.5999999999999,0.0,0.0,0.0,0.0
90,10,13731.672131147543,13926.4,1004.137303506739,819.1999999999998,510.32131147540986,0.0,768.5763863466775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14241.993442622952,13926.4,1772.7136898534166,819.1999999999998,0.0,0.0,0.0,0.0
90,20,14900.039344262294,15155.2,1235.7036951986845,819.1999999999989,517.0360655737705,0.0,765.7036554404076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15417.075409836065,15155.2,2001.407350639092,819.1999999999989,0.0,0.0,0.0,0.0
90,30,16175.84262295082,16384.0,1187.1934651928516,409.60000000000036,523.7508196721312,0.0,766.4769530737506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16699.59344262295,16384.0,1953.6704182666022,409.60000000000036,0.0,0.0,0.0,0.0
90,40,17380.693333333336,17612.8,1132.804575238328,819.2000000000007,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17899.520000000004,17612.8,1904.9280080139838,819.2000000000007,0.0,0.0,0.0,0.0
100,0,4130.133333333333,4096.0,392.2350640055245,409.5999999999999,341.3333333333333,0.0,525.9403442225063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4471.466666666666,4096.0,918.1754082280308,409.5999999999999,0.0,0.0,0.0,0.0
100,10,13714.773333333334,13926.4,1111.1745878884833,409.60000000000036,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14233.6,13926.4,1883.2980206641391,409.60000000000036,0.0,0.0,0.0,0.0
100,20,14940.327868852457,15155.2,1004.1373035067389,819.1999999999989,517.0360655737705,0.0,765.7036554404076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15457.363934426228,15155.2,1769.8409589471466,819.1999999999989,0.0,0.0,0.0,0.0
100,30,16131.413333333332,16384.0,1136.9087182947708,409.60000000000036,518.8266666666667,0.0,772.1234327756557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16650.239999999998,16384.0,1909.0321510704266,409.60000000000036,0.0,0.0,0.0,0.0
100,40,17312.42666666667,17612.8,1791.05286818169,1228.7999999999993,532.48,0.0,769.8341472577354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17844.90666666667,17612.8,2560.8870154394253,1228.7999999999993,0.0,0.0,0.0,0.0
